2026-04-22 07:36:15,101 | INFO | User created by admin admin_id=1 new_user_id=2 role=accountant username='acct1'
2026-04-22 07:36:16,791 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:17,077 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 07:36:19,619 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:19,889 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 07:36:19,891 | INFO | User logout user_id=1
2026-04-22 07:36:20,368 | INFO | Login success user_id=2 role=manager
2026-04-22 07:36:20,755 | INFO | Fuel record reviewed record_id=1 status=approved reviewed_by=2
2026-04-22 07:36:22,402 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:22,640 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 07:36:22,647 | WARNING | Forbidden: role='sales' required=['manager'] user_id=1 path=/api/fuel/records/1/review
2026-04-22 07:36:25,167 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:25,388 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 07:36:25,390 | INFO | User logout user_id=1
2026-04-22 07:36:25,841 | INFO | Login success user_id=2 role=manager
2026-04-22 07:36:27,556 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:27,772 | INFO | Fuel sale recorded sale_id=1 salesperson_id=1 fuel_type='Petrol' quantity=10.5 list_price=2.5
2026-04-22 07:36:29,404 | INFO | Login success user_id=1 role=manager
2026-04-22 07:36:31,403 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:33,369 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:33,461 | INFO | Fuel sale recorded sale_id=1 salesperson_id=1 fuel_type='Petrol' quantity=10.5 list_price=9.99
2026-04-22 07:36:35,416 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:35,512 | WARNING | Unauthorized admin area access attempt user_id=1 role=sales path=/admin/retail_prices
2026-04-22 07:36:38,097 | INFO | Admin login success user_id=1
2026-04-22 07:36:38,297 | INFO | Admin updated retail selling prices admin_id=1 fuels=['Diesel', 'Petrol']
2026-04-22 07:36:38,301 | INFO | User logout user_id=1
2026-04-22 07:36:38,793 | INFO | Login success user_id=2 role=sales
2026-04-22 07:36:39,012 | INFO | Fuel sale recorded sale_id=1 salesperson_id=2 fuel_type='Petrol' quantity=2.0 list_price=4.0
2026-04-22 07:36:40,976 | INFO | Login success user_id=1 role=manager
2026-04-22 07:36:42,921 | INFO | Login success user_id=1 role=manager
2026-04-22 07:36:44,808 | INFO | Login success user_id=1 role=manager
2026-04-22 07:36:47,460 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:47,719 | INFO | Fuel record created record_id=1 submitted_by=1
2026-04-22 07:36:47,721 | INFO | User logout user_id=1
2026-04-22 07:36:48,252 | INFO | Login success user_id=2 role=manager
2026-04-22 07:36:48,570 | INFO | Manager approved operational request request_id=1 manager_id=2
2026-04-22 07:36:49,078 | INFO | Login success user_id=1 role=sales
2026-04-22 07:36:51,593 | INFO | Failed staff login attempt username='sales1'
2026-04-22 07:36:52,088 | INFO | Failed staff login attempt username='sales1'
2026-04-22 07:36:52,666 | INFO | Failed staff login attempt username='sales1'
2026-04-22 07:36:53,192 | INFO | Failed staff login attempt username='sales1'
2026-04-22 07:36:53,647 | INFO | Failed staff login attempt username='sales1'
2026-04-22 07:36:53,670 | WARNING | Locked staff login attempt username='sales1'
2026-04-22 07:37:01,020 | INFO | Login success user_id=1 role=manager
2026-04-22 07:37:02,522 | INFO | Admin login success user_id=1
2026-04-22 07:37:04,040 | WARNING | CSRF validation failed path=/admin/login reason=The CSRF token is missing.
2026-04-22 08:03:13,827 | INFO | System admin account initialized username='admin'.
2026-04-22 08:04:22,959 | INFO | Admin login success user_id=1
2026-04-22 08:04:41,395 | INFO | User logout user_id=1
2026-04-22 08:04:50,098 | INFO | Failed staff login attempt username='blaze-_-fire'
2026-04-22 08:07:44,328 | INFO | Login success user_id=1 role=accountant
2026-04-22 08:07:45,999 | INFO | Login success user_id=1 role=sales
2026-04-22 08:07:48,199 | INFO | Login success user_id=1 role=accountant
2026-04-22 08:07:50,276 | INFO | Login success user_id=1 role=accountant
2026-04-22 08:07:52,409 | INFO | Login success user_id=1 role=accountant
2026-04-22 08:07:52,512 | INFO | Expense recorded id=1 accountant_id=1
2026-04-22 08:07:54,251 | INFO | Login success user_id=1 role=accountant
2026-04-22 08:07:54,385 | INFO | Accountant export kind='daily_sales' user_id=1
2026-04-22 08:07:56,642 | INFO | Login success user_id=1 role=sales
2026-04-22 08:07:58,869 | WARNING | Blocked admin login on shared portal username='admin'
2026-04-22 08:08:01,065 | INFO | Admin login success user_id=1
2026-04-22 08:08:03,885 | INFO | Non-admin attempted admin portal login username='sales1' role='sales'
2026-04-22 08:08:06,034 | INFO | Login success user_id=1 role=sales
2026-04-22 08:08:10,847 | INFO | User registration pending admin approval username='newsales' role=sales
2026-04-22 08:08:11,406 | INFO | Pending account login attempt username='newsales'
